LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,In,7440-74-6,NS00082626,7,2,mean,<LOQ-1,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Fe,7439-89-6,NS00099722,218434,27698,mean,152422-282851,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,246,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,15.274,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,2.181,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,La,7439-91-0,NS00075675,4,1,mean,<LOQ-7,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,20,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Pb,7439-92-1,NS00099540,217,418,mean,<LOQ-173,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,361,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,19.6,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,5.2,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Lu,7439-94-3,NS00082210,2,2,mean,<LOQ-1,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Mn,7439-96-5,NS00099572,245,116,mean,10.8-711,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,371,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,320,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,41,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Hg,7439-97-6,NS00099541,69,84,mean,<LOQ-468,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,28,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Mo,7439-98-7,NS00099571,172,58,mean,7.0-387,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,148,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Nd,7440-00-8,NS00081812,4,1,mean,<LOQ-6,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,10,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Ni,7440-02-0,NS00099721,145,803,mean,<LOQ-737,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,795,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,23.7,"mean in soils from the Segura River valley (Heavy metal content of agricultural soils in a Mediterranean semiarid area: the Segura River Valley (Alicante, Spain) C. Micó Spanish Journal of Agricultural Research (2006) 4(4), 363-372)\",mg/kg,3.7,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Nb,7440-03-1,NS00135066,2,1,mean,<LOQ-3,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,5,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Os,7440-04-2,NS00082231,1,1,mean,<LOQ-6,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,2,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
,Pd,7440-05-3,NS00082603,2,2,mean,<LOQ-2,"ng/ml, w/w",Biota-Terrestrial,blood,N/A,"Espín et al., 2020b, Espín et al., 2020c","Espín et al., 2020b, Espín et al., 2020c",stored in heparinized tubes and transported under refrigerated conditions,1,Eagle owl,Eurasian eagle-owl,Bubo bubo,Animalia,Aves,Strigiformes,nestlings,N/A,87,N/A,period ranging 16th March 2017 e 8th May 2017,800-2000g,N/A,Pb may induce lipid damage in red blood cells?,all nestlings being considered clinically healthy (no symptoms were observed in any individual),tocopherol  was  increased (ox. Stress) for higher  blood Pb,N/A,N/A,N/A,N/A,"European rabbit (Oryctolagus cuniculus) is plentiful in the north part (71% of Eagle owl’s prey). The southern zone (incl industrial and mining areas) is characterized by irrigation farming, and the rabbit is less abundant (accounting for 35% of Eagle owls’ diet). Therefore, owls also consume rats (Rattus norvergicus and Rattus rattus; 23%), pigeons (Columba spp.; 14%), hedgehogs (Erinaceus europaeus and Atelerix algirus; 5.26%), partridges (Alectoris rufa; 5.26%), and yellow-legged gulls (Larus michahellis; 3.16%)",N/A,N/A,N/A,N/A,resident and highly territorial,N/A,Spain,Murcia,"37* 45' N, 0*57' W",N/A,Mediterranean semi-arid climate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sanchez-Virosta et al. 2020, Env Pol",,
